exp,Fecha,variable,value
0,2020-03-06,Actual,0.0
0,2020-03-07,Actual,0.0
0,2020-03-08,Actual,0.0
0,2020-03-09,Actual,0.0
0,2020-03-10,Actual,0.0
0,2020-03-11,Actual,0.0
0,2020-03-12,Actual,0.0
0,2020-03-13,Actual,0.0
0,2020-03-14,Actual,0.0
0,2020-03-15,Actual,0.0
0,2020-03-16,Actual,0.0
0,2020-03-17,Actual,0.0
0,2020-03-18,Actual,0.0
0,2020-03-19,Actual,0.0
0,2020-03-20,Actual,0.0
0,2020-03-21,Actual,0.0
0,2020-03-22,Actual,0.0
0,2020-03-23,Actual,0.0
0,2020-03-24,Actual,0.0
0,2020-03-25,Actual,0.0
0,2020-03-26,Actual,0.0
0,2020-03-27,Actual,0.0
0,2020-03-28,Actual,0.0
0,2020-03-29,Actual,0.0
0,2020-03-30,Actual,0.0
0,2020-03-31,Actual,0.0
0,2020-04-01,Actual,1.4282857714171451e-05
0,2020-04-02,Actual,1.4282857714171451e-05
0,2020-04-03,Actual,1.4282857714171451e-05
0,2020-04-04,Actual,1.4282857714171451e-05
0,2020-04-05,Actual,1.4282857714171451e-05
0,2020-04-06,Actual,1.4282857714171451e-05
0,2020-04-07,Actual,1.4282857714171451e-05
0,2020-04-08,Actual,1.4282857714171451e-05
0,2020-04-09,Actual,0.0
0,2020-04-10,Actual,0.0
0,2020-04-11,Actual,0.0
0,2020-04-12,Actual,0.0
0,2020-04-13,Actual,0.0
0,2020-04-14,Actual,0.0
0,2020-04-15,Actual,0.0
0,2020-04-16,Actual,1.4282857714171451e-05
0,2020-04-17,Actual,1.4282857714171451e-05
0,2020-04-18,Actual,1.4282857714171451e-05
0,2020-04-19,Actual,1.4282857714171451e-05
0,2020-04-20,Actual,1.4282857714171451e-05
0,2020-04-21,Actual,1.4282857714171451e-05
0,2020-04-22,Actual,1.4282857714171451e-05
0,2020-04-23,Actual,2.8565715428342902e-05
0,2020-04-24,Actual,2.8565715428342902e-05
0,2020-04-25,Actual,2.8565715428342902e-05
0,2020-04-26,Actual,4.284857314251435e-05
0,2020-04-27,Actual,4.284857314251435e-05
0,2020-04-28,Actual,4.284857314251435e-05
0,2020-04-29,Actual,4.284857314251435e-05
0,2020-04-30,Actual,4.284857314251435e-05
0,2020-05-01,Actual,7.141428857085725e-05
0,2020-05-02,Actual,7.141428857085725e-05
0,2020-05-03,Actual,7.141428857085725e-05
0,2020-05-04,Actual,8.56971462850287e-05
0,2020-05-05,Actual,0.00011426286171337161
0,2020-05-06,Actual,0.00011426286171337161
0,2020-05-07,Actual,0.00011426286171337161
0,2020-05-08,Actual,0.0001428285771417145
0,2020-05-09,Actual,0.0001999600079984003
0,2020-05-10,Actual,0.00022852572342674322
0,2020-05-11,Actual,0.00024280858114091467
0,2020-05-12,Actual,0.0002713742965692576
0,2020-05-13,Actual,0.00024280858114091467
0,2020-05-14,Actual,0.0002713742965692576
0,2020-05-15,Actual,0.000285657154283429
0,2020-05-16,Actual,0.00024280858114091467
0,2020-05-17,Actual,0.00025709143885508615
0,2020-05-18,Actual,0.00022852572342674322
0,2020-05-19,Actual,0.00021424286571257177
0,2020-05-20,Actual,0.00022852572342674322
0,2020-05-21,Actual,0.00025709143885508615
0,2020-05-22,Actual,0.000285657154283429
0,2020-05-23,Actual,0.0003142228697117719
0,2020-05-24,Actual,0.0003713543005684577
0,2020-05-25,Actual,0.000442768589139315
0,2020-05-26,Actual,0.0004999000199960008
0,2020-05-27,Actual,0.0005427485931385152
0,2020-05-28,Actual,0.0005855971662810295
0,2020-05-29,Actual,0.0005570314508526866
0,2020-05-30,Actual,0.000571314308566858
0,2020-05-31,Actual,0.0006570114548518867
0,2020-06-01,Actual,0.0006855771702802296
0,2020-06-02,Actual,0.0006570114548518867
0,2020-06-03,Actual,0.0006998600279944011
0,2020-06-04,Actual,0.0007569914588510869
0,2020-06-05,Actual,0.0007712743165652583
0,2020-06-06,Actual,0.0008426886051361157
0,2020-06-07,Actual,0.0008284057474219442
0,2020-06-08,Actual,0.0008141228897077728
0,2020-06-09,Actual,0.0008712543205644586
0,2020-06-10,Actual,0.0008426886051361157
0,2020-06-11,Actual,0.0007998400319936012
0,2020-06-12,Actual,0.0008141228897077728
0,2020-06-13,Actual,0.0008712543205644586
0,2020-06-14,Actual,0.0008569714628502871
0,2020-06-15,Actual,0.0008426886051361157
0,2020-06-16,Actual,0.0008284057474219442
0,2020-06-17,Actual,0.0008141228897077728
0,2020-06-18,Actual,0.0008712543205644586
0,2020-06-19,Actual,0.0008569714628502871
0,2020-06-20,Actual,0.0008284057474219442
0,2020-06-21,Actual,0.0007569914588510869
