exp,Fecha,variable,value
0,2020-03-06,Actual,0.0
0,2020-03-07,Actual,8.56971462850287e-05
0,2020-03-08,Actual,0.00011426286171337161
0,2020-03-09,Actual,0.0001856771502842289
0,2020-03-10,Actual,0.00025709143885508615
0,2020-03-11,Actual,0.00031422286971177185
0,2020-03-12,Actual,0.00041420287371097213
0,2020-03-13,Actual,0.0004856171622818293
0,2020-03-14,Actual,0.0005284657354243437
0,2020-03-15,Actual,0.0006284457394235437
0,2020-03-16,Actual,0.0007141428857085724
0,2020-03-17,Actual,0.0008569714628502871
0,2020-03-18,Actual,0.0010283657554203446
0,2020-03-19,Actual,0.0010997800439912018
0,2020-03-20,Actual,0.001171194332562059
0,2020-03-21,Actual,0.0012426086211329162
0,2020-03-22,Actual,0.0013425886251321165
0,2020-03-23,Actual,0.0015282657754163453
0,2020-03-24,Actual,0.0016996600679864027
0,2020-03-25,Actual,0.0018996200759848032
0,2020-03-26,Actual,0.002128145799411546
0,2020-03-27,Actual,0.0023281058074099466
0,2020-03-28,Actual,0.0025423486731225185
0,2020-03-29,Actual,0.0027708743965492613
0,2020-03-30,Actual,0.003042248693118519
0,2020-03-31,Actual,0.003256491558831091
0,2020-04-01,Actual,0.003770674436541263
0,2020-04-02,Actual,0.004170594452538064
0,2020-04-03,Actual,0.004456251606821493
0,2020-04-04,Actual,0.004941868769103322
0,2020-04-05,Actual,0.0054274859313851505
0,2020-04-06,Actual,0.006141628817093724
0,2020-04-07,Actual,0.006541548833090525
0,2020-04-08,Actual,0.007284257434227441
0,2020-04-09,Actual,0.007941268889079327
0,2020-04-10,Actual,0.008726826063358758
0,2020-04-11,Actual,0.009726626103350759
0,2020-04-12,Actual,0.010854971862770305
0,2020-04-13,Actual,0.011726226183334763
0,2020-04-14,Actual,0.012754591938755106
0,2020-04-15,Actual,0.01436855486045648
0,2020-04-16,Actual,0.015668294912446083
0,2020-04-17,Actual,0.017539349273002543
0,2020-04-18,Actual,0.019638929356985742
0,2020-04-19,Actual,0.02165281229468392
0,2020-04-20,Actual,0.024223726683234786
0,2020-04-21,Actual,0.026880338218070676
0,2020-04-22,Actual,0.029922586911189188
0,2020-04-23,Actual,0.032907704173451034
0,2020-04-24,Actual,0.0360213671551404
0,2020-04-25,Actual,0.039677778729968284
0,2020-04-26,Actual,0.04331990744708202
0,2020-04-27,Actual,0.04733339046476419
0,2020-04-28,Actual,0.052789442111577684
0,2020-04-29,Actual,0.05785985660010855
0,2020-04-30,Actual,0.06347301968177793
0,2020-05-01,Actual,0.06960036564115749
0,2020-05-02,Actual,0.07532779158454024
