exp,Fecha,variable,value
0,2020-03-06,Actual,0.0
0,2020-03-07,Actual,0.0
0,2020-03-08,Actual,0.0
0,2020-03-09,Actual,0.0
0,2020-03-10,Actual,0.0
0,2020-03-11,Actual,0.0
0,2020-03-12,Actual,0.0
0,2020-03-13,Actual,0.0
0,2020-03-14,Actual,0.0
0,2020-03-15,Actual,0.0
0,2020-03-16,Actual,2.212732060274821e-05
0,2020-03-17,Actual,2.212732060274821e-05
0,2020-03-18,Actual,2.212732060274821e-05
0,2020-03-19,Actual,2.212732060274821e-05
0,2020-03-20,Actual,2.212732060274821e-05
0,2020-03-21,Actual,0.7165711503993981
0,2020-03-22,Actual,0.6530878675901135
0,2020-03-23,Actual,0.6938463921403757
0,2020-03-24,Actual,0.6909919677826212
0,2020-03-25,Actual,0.545040161086894
0,2020-03-26,Actual,0.6416480428384926
0,2020-03-27,Actual,0.6309826743079681
0,2020-03-28,Actual,0.6304073639722966
0,2020-03-29,Actual,0.6470028544243578
0,2020-03-30,Actual,0.6927621534308411
0,2020-03-31,Actual,0.62246365587591
0,2020-04-01,Actual,0.6076826057132741
0,2020-04-02,Actual,0.5997831522580931
0,2020-04-03,Actual,0.5884760914300887
0,2020-04-04,Actual,0.5899364945898701
0,2020-04-05,Actual,0.6115770141393578
0,2020-04-06,Actual,0.6716305622552166
0,2020-04-07,Actual,0.5941849401455978
0,2020-04-08,Actual,0.5821698050583055
0,2020-04-09,Actual,0.5697785055207665
0,2020-04-10,Actual,0.6611643396101166
0,2020-04-11,Actual,0.7092248799592857
0,2020-04-12,Actual,0.6428207908304383
0,2020-04-13,Actual,0.6788219414511096
0,2020-04-14,Actual,0.6056026375766158
0,2020-04-15,Actual,0.6121301971544266
0,2020-04-16,Actual,0.587834399132609
0,2020-04-17,Actual,0.6000044254641206
0,2020-04-18,Actual,0.5726550571991238
0,2020-04-19,Actual,0.615692695771469
0,2020-04-20,Actual,0.6609209390834864
0,2020-04-21,Actual,0.5881663089416502
0,2020-04-22,Actual,0.5777885955789613
0,2020-04-23,Actual,0.5872590887969376
0,2020-04-24,Actual,0.5700219060473968
0,2020-04-25,Actual,0.5684066116433961
0,2020-04-26,Actual,0.5790277255327152
0,2020-04-27,Actual,0.6370234328325183
0,2020-04-28,Actual,0.5369636890668908
0,2020-04-29,Actual,0.5360343416015755
0,2020-04-30,Actual,0.5245502622087491
0,2020-05-01,Actual,0.5169384639214037
0,2020-05-02,Actual,0.5735844046644392
0,2020-05-03,Actual,0.544420596110017
0,2020-05-04,Actual,0.6078153696368906
0,2020-05-05,Actual,0.5047684375898922
0,2020-05-06,Actual,0.4932401035558604
0,2020-05-07,Actual,0.4970902573407386
0,2020-05-08,Actual,0.4962272918372314
0,2020-05-09,Actual,0.4806717854534994
0,2020-05-10,Actual,0.48607085168057
0,2020-05-11,Actual,0.5315424955192176
0,2020-05-12,Actual,0.4532560352266944
0,2020-05-13,Actual,0.4651826610315757
0,2020-05-14,Actual,0.4530347620206669
0,2020-05-15,Actual,0.458478082888943
0,2020-05-16,Actual,0.4387626402318943
0,2020-05-17,Actual,0.4498041732126657
0,2020-05-18,Actual,0.5391100391653575
0,2020-05-19,Actual,0.4297568207465758
0,2020-05-20,Actual,0.4544730378598456
0,2020-05-21,Actual,0.4321465713716726
0,2020-05-22,Actual,0.4317040249596176
0,2020-05-23,Actual,0.4183612506361605
0,2020-05-24,Actual,0.431062332662138
0,2020-05-25,Actual,0.5200584161263913
0,2020-05-26,Actual,0.5184873763635961
0,2020-05-27,Actual,0.4157059721638307
0,2020-05-28,Actual,0.41453322417188493
0,2020-05-29,Actual,0.42373818954262826
0,2020-05-30,Actual,0.4003496116655234
0,2020-05-31,Actual,0.4192020888190649
0,2020-06-01,Actual,0.4791007456907043
0,2020-06-02,Actual,0.40632398822826543
0,2020-06-03,Actual,0.4038236010001549
0,2020-06-04,Actual,0.41417918704224105
0,2020-06-05,Actual,0.3982475162082623
0,2020-06-06,Actual,0.38924169672294384
0,2020-06-07,Actual,0.39729604142234415
0,2020-06-08,Actual,0.4646516053371098
0,2020-06-09,Actual,0.3819618082446397
0,2020-06-10,Actual,0.3826920098245303
0,2020-06-11,Actual,0.3954373464917133
0,2020-06-12,Actual,0.3983360254906733
0,2020-06-13,Actual,0.3891753147611356
0,2020-06-14,Actual,0.3651007899453455
0,2020-06-15,Actual,0.44991480981567933
0,2020-06-16,Actual,0.4500033190980904
0,2020-06-17,Actual,0.3768282698648021
0,2020-06-18,Actual,0.38072267829088574
0,2020-06-19,Actual,0.3823379726948864
0,2020-06-20,Actual,0.34996570265306576
0,2020-06-21,Actual,0.3553647688801363
